experience_type,emotion_type,problem_type,situation,speaker,strategy,feedback,content
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Information,,"you can end the chat , or I do now 
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,1,"ok
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Questions,,Hi! how can I help you today?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,I am struggling with a problem and I don't know what to do.
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Questions,,what is the problem and from how long?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,3,My partner of 5 years is interested in someone else and has been seeing them for the past few weeks.
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Self-disclosure,,"that's so bad tbh , that happened to me once, I can feel you.!"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Questions,,did you talk to your partner about this?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,2,"That's what I am struggling with. I am afraid that if I confront him, he will leave. But if I don't, this will continue and he might choose her."
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Affirmation and Reassurance,,"either ways if he's cheating , he will leave so why not talk to him and at least get an explanation?"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,"because if you don't ask for it, you will keep overthinking about it"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Self-disclosure,,trust me that happened to me and I overthinked so much and it affected me in a negative way
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,2,"Because I'm very afraid of being alone. I almost would rather share him than risk him leaving. But my pride keeps telling me I'm worth more. The other side says, to who?"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Questions,,how old are you?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,In my 50's
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,"interesting, but trust me if you don't let go, thinking about that all the time would kill you from inside."
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,or just talk to him maybe he will explain ? or at least leave her?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,2,It is killing me. But I'm afraid. So afraid.
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,don't be
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,I have bent over backwards proving I'm worth living a life with while she just wants to party and spend his money.
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Reflection of feelings,,I feel sad for you!
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,1,"Don't feel sad, I do not want pity.
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,but the only advice I would give you is that you should talk to him
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,"And say what? 
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Questions,,what if what you're thinking is absolutely wrong?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,2,"What do you mean?
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Information,,like what if that girl is his friend or cousin?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,"lol, no. They go out and I hear about what they do. We have friends in common.
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Other,,"oh crap
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,1,"Yeah. To top it off... her name is Barbi
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Self-disclosure,,"ummmm, idk  im confused, when I was at that point I left her for cheating on me."
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,"I'm confused too. Not about what's goin on, but about what to do with me. I know I should give him an ultimatum. But that's what puts me back at ... I'm just afraid."
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,"don't hang on a thread, get on one end."
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Providing Suggestions,,"if you got any problem , just talk"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,3,"I guess I am waiting on the opportunity for a confrontation
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Reflection of feelings,,what if you don't say about that anything to him and he keeps doing it and gets so close to that other girl and eventually leave you?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,"I know. It's almost a no win situation. Right now he would probably choose her cause she's new and fun and makes him feel young
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Information,,so just do it then why are you waiting to get hurt
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,2,"I guess I'm thinking he'll get tired of her.. but I'm cheating myself and just losing time
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Reflection of feelings,,yea
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,"Thank you. It helps to talk about it, although it doesn't solve the problem.
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Questions,,yes but like I can't do anything about that right?
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Reflection of feelings,,"well
it was nice talking to you. :)"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,1,"Only by being a good listener, I guess
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,speaker,,,"Thank you, you too
"
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Self-disclosure,,yess
Current Experience,fear,breakup with partner,My partner is interested in someone else and has recently began to spend more time with that person and less time with me.,listener,Information,,end the convo.
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Other,,hi
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,,"Hello. I am so mad at my friend.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Questions,,"Oh no, sorry to hear. Can I hear more about it?"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,3,"Her son and granddaughter are both addicted to various things - mainly drugs and alcohol. They manipulate her and she knows it but refuses to acknowledge it and do something positive.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Questions,,"I am sorry to hear that. Do you mean the kids manipulate their mother, your friend?"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,,"Yes. They manipulate her. She is always giving them money without telling her husband and she is going into debt.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Affirmation and Reassurance,,"Sounds like a very complicated situation. I guess she wants to take care of her daughters, that is  why she gives them money. But they use the money to buy alcohol and drugs? sad isn't it?"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Providing Suggestions,,Drinking or using drugs does not help anything you know.  I used to drink alcohol and now I do not at all. I feel way better this way. 
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,1,It is but they are all suffering and nothing changes but she could stop the cycle by just not giving money without them being in rehab.
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,,"I'm glad you feel better.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Providing Suggestions,,"But it took me 20 years to get here, when I was young, I needed to drink and party.  Thank you. "
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,,"Her son has done this for the last 25 years and her granddaughter started at the age of 14. Now there are 3 great-grandkids in a terrible situation but she doesn't want her son or granddaughter mad at her.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Other,,"I totally feel you. I guess all she could do is to give money to show that she cared, but it is not right. The cycle needs to change. 
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,2,"They all need help. 
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Providing Suggestions,,"For college tuitions and stuff parents should help their kids but, if I give my money to my kids, I would want to track what they use my money for. 
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Reflection of feelings,,I understand they are needing help. I hope the situation will become better. and you are such  a nice person that you worry about your friend and her family. 
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,1,They need medical and psychological help. My friend needs to stop laughing off that she is an enabler and do something before someone dies.
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Reflection of feelings,,Got it.  Adult hospitalization programs and rehabs should certainly help. I see there is some dependency between her and her kids yes. This is a serious problem and now I am concerned about you.
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,,"This is a serious problem and if her husband finds out what she is doing he is going to explode.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Providing Suggestions,,"It is hard to change people, and the situation might not change quickly. You could get hurt by seeing it. All you can do is to give advice, and maybe find a doctor or a specialists to assist her."
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Affirmation and Reassurance,,"Wow, she has been doing that secretly."
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,2,"It is hard to change people and yes she needs help. People have to change themselves others can't change them.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",speaker,,,"Yes she has and is in debt.
"
Current Experience,anger,problems with friends,"My friend is an enabler for her addicted family members and they have taken great advantage of her.They lie, she knows it but excuses it and gives money etc behind her husband's back.",listener,Affirmation and Reassurance,,"Right, you can guide them in a certain way but there should be some hidden problems why those kids are always drunk and high. "
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Other,,Hi! Hope you are doing well
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,,thank you
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Questions,,"How can I help you today?
"
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,4,nothing
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Self-disclosure,,Today my task is here to assist to with a solution if you are facing  any kind of difficulty.
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,,no
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Questions,,What was the reason for joining the task then?
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,4,problem
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Restatement or Paraphrasing,,Please share you problem
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,,sadness
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Restatement or Paraphrasing,,It seems that your are sad. Am I correct
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,4,thanks for your approch
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Affirmation and Reassurance,, I know sometime we all feel sad in life. I would be happy if you would share what is the main cause of sadness.
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,,family problem
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Self-disclosure,,"When I get stress or sad with my family, I would like to talk to them and share my thought. Most of the time my problem is  resolved. you can try the same."
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,4,ok thanks for your advice
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Information,,Research says that family problem can be resolved to avoid the negativity and stress.  
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,speaker,,,ok friend
Current Experience,sadness,breakup with partner,Negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusing on the negative and not seeing the positive in your life and work.You may see situations as problems rather than as challenges.Another example of irrational thinking is overgeneralization.negative mood is usually the result of irrational thinking about people or events.This could mean focusin,listener,Providing Suggestions,,"I would suggest you it talk to the family members, they might understand your problem and you will have happy family life."
